username, numVictories, numLosses, password, salt
blorgus, 2, 0, ba186c59806e53a4bb75eca399f27d91d98e52673e220d0528e9532a7c241, kkW;LrRvCa;D]68T{o]dAj-.OqbdGLpyTeNVAv.?r-H3-Hry[MQa43;RFT{}2{wC
meep, 4, 1, c286a1635b5cf6c2d0ce63275566eca95ccc9cc0472c742e2499e1f519dc965a, 5VL1{<0m]pCnkoyn.=L1g}K2m/1dy0ykSJuN53pe'Nx{]hUd06gmferYmFZ7/Ing
adam, 22, 19, 6d78fe5f59c5f89d1d0b99b5644fc8ee9acd899b176eb2f7a85a7a47add0, =e74M-9='RLR2P-OKNIDEEscQ;cvYI=7TcBYgP3cP67px0iF.6NMkFN}Unu<I;Fl
-521175960, 0, 0, 1d3478842c69fb2423ba5a14a447ca2ea2135686e544aa5b773bad4c36404e, EyQfRU>>Kc][9.}653R;ErNTa>bGuBBQcCV[.96MQ9.<Lp/BGsNgMwM5RRf]n.43
453302697, 0, 0, ce7cc6c2b9ba8f4783358dacda61df2911e96463c3878b2911b86b19663b47, AIZJyRSJWFpZk]w8[PWD|Q/XhYxHD{X]JhS2kQMb6w{Sitg=EDgkLKno.q3[0;Ls
-1417011911, 0, 0, 54ef3a3460f3757715d8956a2efc14bef0e68728ac89a0762ff07a8a5a5e4898, bT2[:C>Pa?U8SPyRbWetUJoigxsjH8zIAGiVA'tug.J5s}KH<|c{UXY]fkU5sVrp
-884887216, 0, 0, 7b953cb27de26929ea5b25ab64d58aa46050db988fadb4dcacb0c93ecde8, C6lIMOUH8aWh<wZVvqpsKToUZy6=0IV8cK?ZYBm;e6EUcgI9Kb|:nrYtiK>C?ZZs
990101019, 0, 0, e26883b9fbd215e0d64f62746311cc8568f7120cf31ce3bd9bb7eb097e86c58, >ScNg0IgLC-cengBJZ90{0[U;d[2k60]d8aCc36H6PAYxS0h[b|0.rs=w<cFH>/e
1377204906, 0, 0, 37cbf7ed5cb357dfe52c5c68077269a757ef65b191b9ee9bdf786566ffda4, mGPNdw0>2L/J8?<E3O[{[COAZW/gqvXWQ/|.qB;7fVKa]S<CbzF0agS}cI'oNYxR
1801388214, 0, 0, d2aa7189348df0734aea9f4ca6a6c6338ba7ac24a0946433274cdc94f559be, oQtJVMvQeelyq|nKQZC9'1h>}db]dPrzHV/{kp'y.wGWvb2OVmes'Jn-'9j3}1j/
